Date,Open,High,Low,Close,Volume,Adj Close
2015-12-17,17756.539062,17796.759766,17493.50,17495.839844,115780000,17495.839844
2015-12-16,17530.849609,17784.359375,17483.679688,17749.089844,123790000,17749.089844
2015-12-15,17374.779297,17627.630859,17341.179688,17524.910156,123430000,17524.910156
2015-12-14,17277.109375,17378.019531,17138.470703,17368.50,142540000,17368.50
2015-12-11,17574.75,17574.75,17230.50,17265.210938,134510000,17265.210938
2015-12-10,17493.169922,17697.740234,17474.660156,17574.75,107310000,17574.75
2015-12-09,17558.179688,17767.689453,17403.509766,17492.300781,122020000,17492.300781
2015-12-08,17703.990234,17703.990234,17485.390625,17568.00,113720000,17568.00
2015-12-07,17845.490234,17845.490234,17639.25,17730.509766,99670000,17730.509766
2015-12-04,17482.679688,17866.470703,17482.679688,17847.630859,137650000,17847.630859
2015-12-03,17741.570312,17780.589844,17425.560547,17477.669922,126990000,17477.669922
2015-12-02,17883.140625,17901.580078,17708.199219,17729.679688,102860000,17729.679688
2015-12-01,17719.720703,17895.50,17719.720703,17888.349609,103880000,17888.349609
2015-11-30,17802.839844,17837.240234,17719.789062,17719.919922,155560000,17719.919922
2015-11-27,17806.039062,17830.359375,17749.320312,17813.390625,82540000,17813.390625
2015-11-25,17820.810547,17854.919922,17801.830078,17813.390625,82540000,17813.390625
2015-11-24,17770.900391,17862.599609,17683.509766,17812.189453,127170000,17812.189453
2015-11-23,17823.609375,17868.179688,17751.529297,17792.679688,134680000,17792.679688
2015-11-20,17732.75,17914.339844,17732.75,17823.810547,153140000,17823.810547
2015-11-19,17739.830078,17772.970703,17681.980469,17732.75,114630000,17732.75
2015-11-18,17485.490234,17752.160156,17485.490234,17737.160156,106810000,17737.160156
2015-11-17,17486.990234,17599.330078,17451.410156,17489.50,167190000,17489.50
2015-11-16,17229.939453,17483.009766,17210.429688,17483.009766,137590000,17483.009766
2015-11-13,17439.25,17439.25,17238.890625,17245.240234,134640000,17245.240234
2015-11-12,17691.929688,17691.929688,17443.50,17448.070312,113660000,17448.070312
2015-11-11,17769.50,17807.179688,17696.910156,17702.220703,95230000,17702.220703
2015-11-10,17724.130859,17768.660156,17657.720703,17758.210938,108640000,17758.210938
2015-11-09,17900.779297,17900.779297,17667.779297,17730.480469,121210000,17730.480469
2015-11-06,17855.220703,17912.039062,17768.599609,17910.330078,107450000,17910.330078
2015-11-05,17871.25,17929.509766,17779.189453,17863.429688,98910000,17863.429688
2015-11-04,17929.580078,17964.119141,17828.830078,17867.580078,99890000,17867.580078
2015-11-03,17819.740234,17977.849609,17796.019531,17918.150391,92290000,17918.150391
2015-11-02,17672.619141,17845.900391,17655.019531,17828.759766,100840000,17828.759766
2015-10-30,17756.599609,17799.960938,17662.869141,17663.539062,149250000,17663.539062
2015-10-29,17771.50,17786.00,17684.720703,17755.800781,90300000,17755.800781
2015-10-28,17586.689453,17779.949219,17556.710938,17779.519531,115630000,17779.519531
2015-10-27,17608.890625,17635.179688,17540.570312,17581.429688,113960000,17581.429688
2015-10-26,17649.570312,17660.699219,17602.509766,17623.050781,116660000,17623.050781
2015-10-23,17525.109375,17679.369141,17525.109375,17646.699219,158090000,17646.699219
2015-10-22,17180.880859,17505.179688,17180.880859,17489.160156,152420000,17489.160156
2015-10-21,17225.929688,17314.990234,17153.130859,17168.609375,107100000,17168.609375
2015-10-20,17228.470703,17264.880859,17147.990234,17217.109375,106670000,17217.109375
2015-10-19,17209.429688,17235.949219,17129.189453,17230.539062,118430000,17230.539062
2015-10-16,17141.75,17220.019531,17107.349609,17215.970703,145880000,17215.970703
2015-10-15,16944.859375,17144.419922,16933.570312,17141.75,122960000,17141.75
2015-10-14,17079.080078,17111.380859,16887.669922,16924.75,120110000,16924.75
2015-10-13,17113.550781,17172.810547,17034.449219,17081.890625,99400000,17081.890625
2015-10-12,17082.289062,17139.210938,17064.580078,17131.859375,72500000,17131.859375
2015-10-09,17054.689453,17110.880859,17027.230469,17084.490234,103730000,17084.490234
2015-10-08,16904.169922,17081.279297,16859.339844,17050.75,100730000,17050.75
2015-10-07,16805.419922,16963.300781,16765.00,16912.289062,115690000,16912.289062
2015-10-06,16774.019531,16865.089844,16746.029297,16790.189453,120010000,16790.189453
2015-10-05,16502.099609,16798.369141,16502.099609,16776.429688,127660000,16776.429688
2015-10-02,16258.25,16472.769531,16013.660156,16472.369141,136870000,16472.369141
2015-10-01,16278.620117,16348.870117,16073.820312,16272.009766,111420000,16272.009766
2015-09-30,16057.080078,16297.599609,16057.080078,16284.700195,145740000,16284.700195
2015-09-29,16001.759766,16118.889648,15942.370117,16049.129883,121160000,16049.129883
2015-09-28,16313.259766,16313.259766,15981.849609,16001.889648,139930000,16001.889648
2015-09-25,16205.070312,16465.230469,16205.070312,16314.669922,130790000,16314.669922
2015-09-24,16257.110352,16257.110352,16016.360352,16201.320312,122220000,16201.320312
2015-09-23,16332.80957,16355.290039,16211.980469,16279.889648,86030000,16279.889648
2015-09-22,16477.449219,16477.449219,16221.730469,16330.469727,119010000,16330.469727
2015-09-21,16406.099609,16578.599609,16391.880859,16510.189453,90730000,16510.189453
2015-09-18,16674.740234,16674.740234,16343.759766,16384.580078,341690000,16384.580078
2015-09-17,16738.080078,16933.429688,16639.929688,16674.740234,129600000,16674.740234
2015-09-16,16599.509766,16755.980469,16593.900391,16739.949219,99620000,16739.949219
2015-09-15,16382.580078,16644.109375,16382.580078,16599.849609,93050000,16599.849609
2015-09-14,16450.859375,16450.859375,16330.870117,16370.959961,92660000,16370.959961
2015-09-11,16330.400391,16434.759766,16244.650391,16433.089844,104630000,16433.089844
2015-09-10,16252.570312,16441.939453,16212.080078,16330.400391,122690000,16330.400391
2015-09-09,16505.039062,16664.650391,16220.099609,16253.570312,118790000,16253.570312
2015-09-08,16109.929688,16503.410156,16109.929688,16492.679688,123870000,16492.679688
2015-09-04,16371.759766,16371.759766,16026.610352,16102.379883,127270000,16102.379883
2015-09-03,16364.339844,16550.070312,16317.30957,16374.759766,109730000,16374.759766
2015-09-02,16058.349609,16352.580078,16058.349609,16351.379883,133480000,16351.379883
2015-09-01,16528.029297,16528.029297,15979.950195,16058.349609,171390000,16058.349609
2015-08-31,16632.019531,16632.019531,16444.050781,16528.029297,141440000,16528.029297
2015-08-28,16649.419922,16669.970703,16535.179688,16643.009766,131790000,16643.009766
2015-08-27,16285.509766,16666.689453,16285.509766,16654.769531,171980000,16654.769531
2015-08-26,15676.259766,16303.75,15676.259766,16285.509766,208420000,16285.509766
2015-08-25,15882.269531,16312.94043,15651.240234,15666.44043,213220000,15666.44043
2015-08-24,16459.75,16459.75,15370.330078,15871.349609,293920000,15871.349609
2015-08-21,16990.689453,16990.689453,16459.550781,16459.75,225170000,16459.75
